nProductID,cName,cDescription,nUnitPrice,nStock,nAverageRating,dValidFrom,dValidTo
1,Apple,Danish apple,"2,50",4,0.0,2019-12-14 20:48:14.94,9999-12-31 23:59:59.99
2,Orange,1. class from Spain,"2,00",6,0.0,2019-12-14 20:48:51.04,9999-12-31 23:59:59.99
3,Kiwi,From China,"1,50",5,0.0,2019-12-14 20:49:12.36,9999-12-31 23:59:59.99
4,Green Grape,1 kg. From Italy,"10,00",7,0.0,2019-12-14 20:50:59.09,9999-12-31 23:59:59.99
5,Red Grape,1 kg. From Italy,"10,00",8,0.0,2019-12-14 20:51:15.27,9999-12-31 23:59:59.99
6,Banana,1. class from Turkey,"2,10",6,0.0,2019-12-14 20:34:02.01,9999-12-31 23:59:59.99
7,Carrot,2 kg. Danish,"20,00",4,0.0,2019-12-14 20:46:45.99,9999-12-31 23:59:59.99
8,Lemon,Yellow and Juicy,"2,35",5,0.0,2019-12-14 20:49:23.37,9999-12-31 23:59:59.99
9,Cucumber,Danish,"5,50",5,0.0,2019-12-14 20:51:15.27,9999-12-31 23:59:59.99
10,Iceberg,Danish,"9,50",6,0.0,2019-12-14 20:52:08.43,9999-12-31 23:59:59.99
11,Parsley,Danish,"8,00",6,0.0,2019-12-14 20:47:06.70,9999-12-31 23:59:59.99
12,Radishes,Danish,"4,50",6,0.0,2019-12-14 20:47:08.90,9999-12-31 23:59:59.99
13,Avocado,From Turkey,"8,00",8,0.0,2019-12-14 20:51:58.41,9999-12-31 23:59:59.99
14,Onion,2 kg. Danish,"18,00",2,0.0,2019-12-14 20:23:49.71,9999-12-31 23:59:59.99
15,Garlic,Danish,"13,50",3,0.0,2019-12-14 20:40:28.26,9999-12-31 23:59:59.99
16,Aubergine,Turkish,"6,00",3,0.0,2019-12-14 20:23:49.71,9999-12-31 23:59:59.99
17,Pineapples,1. class,"18,00",12,0.0,2019-12-14 20:52:51.58,9999-12-31 23:59:59.99
18,Papaya,From Mexico,"21,00",5,0.0,2019-12-14 20:44:09.95,9999-12-31 23:59:59.99
19,Pomegranate,From Spain,"9,00",2,0.0,2019-12-14 20:48:06.46,9999-12-31 23:59:59.99
20,Lime,From Turkey,"3,00",8,0.0,2019-12-14 20:48:06.46,9999-12-31 23:59:59.99
